stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1776086967.096622705,-2.494309088,0.048636859,9.512849656,-0.006627733,0.002022753,0.003630616,-0.012703801,-0.014369227,-0.018145120,-0.118241846,-0.037887521,-0.150912530,0.991945522,-0.001213345,0.126659358,0.000127516,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.102542400,-2.513556305,0.041419153,9.532096873,-0.000236146,-0.003303570,0.001500089,-0.013404307,-0.014592302,-0.019037674,-0.118427722,-0.037479406,-0.150641760,0.991948006,-0.001249587,0.126639520,0.000156782,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.106850386,-2.506338599,0.055854566,9.486384732,0.004024912,-0.007564628,0.001500089,-0.013914872,-0.014753087,-0.019686317,-0.118604522,-0.037165914,-0.150493431,0.991951134,-0.001264870,0.126614840,0.000174364,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.112492085,-2.496714990,0.031795544,9.433454884,0.009351235,-0.013956215,0.000434823,-0.014584739,-0.014961685,-0.020535601,-0.118865219,-0.036782769,-0.150580408,0.991957148,-0.001271659,0.126567615,0.000194206,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.116642475,-2.460626311,0.036607348,9.416613569,0.013612293,-0.016086744,-0.000630442,-0.015078366,-0.015113848,-0.021161042,-0.119005063,-0.036541699,-0.150808272,0.991962703,-0.001267063,0.126524101,0.000205363,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.122492313,-2.438973191,0.014954229,9.431048982,0.010416498,-0.018217273,0.000434823,-0.015774652,-0.015326764,-0.022044329,-0.119048175,-0.036252316,-0.151178524,0.991971319,-0.001259039,0.126456587,0.000220898,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.126629353,-2.419725974,0.005330620,9.440672591,0.008285969,-0.020347802,-0.003826234,-0.016267036,-0.015476452,-0.022670246,-0.118988470,-0.036112291,-0.151413254,0.991977960,-0.001259246,0.126404464,0.000229308,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.132511377,-2.429349583,0.017360131,9.428643080,0.004024912,-0.022478329,-0.007022027,-0.016966631,-0.015688256,-0.023561885,-0.118887245,-0.035904928,-0.151760944,0.991988180,-0.001270249,0.126324123,0.000231584,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.136771679,-2.458220409,0.019766033,9.459919808,0.006155441,-0.024608860,-0.015544143,-0.017473129,-0.015840833,-0.024208841,-0.118888311,-0.035722813,-0.151952612,0.991996151,-0.001282044,0.126261414,0.000221144,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.142487049,-2.424537778,0.053448664,9.435860786,0.011481764,-0.024608860,-0.027262051,-0.018152599,-0.016044005,-0.025077994,-0.118881122,-0.035373713,-0.152193482,0.992007241,-0.001290950,0.126174231,0.000177109,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.146865368,-2.422131876,0.041419153,9.416613569,0.017873351,-0.024608860,-0.034718905,-0.018672984,-0.016198193,-0.025744994,-0.118828601,-0.035058803,-0.152489680,0.992015749,-0.001287697,0.126107418,0.000120937,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.151666641,-2.405290561,0.017360131,9.421425373,0.023199674,-0.022478329,-0.036849435,-0.019243303,-0.016365900,-0.026478026,-0.118741521,-0.034800825,-0.152859369,0.992024767,-0.001271628,0.126036674,0.000046145,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.156890631,-2.402884659,0.024577837,9.423831276,0.025330201,-0.018217273,-0.033653643,-0.019863239,-0.016547086,-0.027277598,-0.118600371,-0.034565826,-0.153255785,0.992033527,-0.001244308,0.125967982,-0.000035089,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.162537813,-2.443784996,0.024577837,9.419019471,0.030656524,-0.017152008,-0.031523112,-0.020532889,-0.016741520,-0.028144213,-0.118562095,-0.034294723,-0.153663756,0.992042049,-0.001203384,0.125901193,-0.000116780,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.166959286,-2.496714990,0.029389642,9.390148645,0.032787055,-0.013956215,-0.029392581,-0.021057536,-0.016892667,-0.028824384,-0.118755692,-0.034074693,-0.154003492,0.992048131,-0.001162572,0.125853576,-0.000177111,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.172540426,-2.530397621,0.036607348,9.375713232,0.027460732,-0.007564628,-0.020870466,-0.021721762,-0.017081986,-0.029685254,-0.119269367,-0.033767870,-0.154489104,0.992054113,-0.001113606,0.125806759,-0.000237975,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.177777767,-2.518368110,0.048636859,9.332406993,0.022134408,0.000957488,-0.012348350,-0.022347927,-0.017257963,-0.030495906,-0.119846530,-0.033432877,-0.155077190,0.992057254,-0.001078682,0.125782224,-0.000271217,0.009966183,0.006124610,-0.005683687,0.000001062,0.000000876,0.000002904
1776086967.182486534,-2.479873675,0.043825055,9.303536167,0.012547027,0.009479604,-0.005956765,-0.013383424,-0.004031368,-0.024357903,-0.063302071,0.045542892,-0.115042765,0.991901657,-0.000425641,0.127000093,-0.001377695,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.186781168,-2.436567289,0.055854566,9.308347972,0.005090177,0.016936455,-0.001695707,-0.013655593,-0.003835205,-0.024853582,-0.063446197,0.045809647,-0.115793978,0.991899728,-0.000427551,0.127015197,-0.001373443,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.192481041,-2.422131876,0.036607348,9.334812895,-0.002366675,0.024393305,0.001500089,-0.014017243,-0.003573140,-0.025516307,-0.063451279,0.046144848,-0.116746187,0.991894473,-0.000449786,0.127056356,-0.001354571,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.196571827,-2.426943680,0.022171935,9.334812895,-0.007692997,0.027589099,-0.003826234,-0.014276743,-0.003384016,-0.025995191,-0.063419203,0.046318651,-0.117382089,0.991889306,-0.000478973,0.127096718,-0.001341532,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.202477217,-2.472655969,0.024577837,9.370901428,-0.014084584,0.028654365,-0.009152558,-0.014651447,-0.003109829,-0.026690673,-0.063483051,0.046541363,-0.118159309,0.991881012,-0.000540257,0.127161239,-0.001336112,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.206859112,-2.489497284,0.017360131,9.435860786,-0.022606701,0.031850159,-0.007022027,-0.014929885,-0.002905538,-0.027209153,-0.063602707,0.046701836,-0.118487207,0.991874245,-0.000602375,0.127213764,-0.001333488,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.212335587,-2.487091382,0.041419153,9.483978830,-0.020476170,0.029719628,-0.012348350,-0.015278483,-0.002649075,-0.027858320,-0.063704991,0.046958103,-0.118587525,0.991865580,-0.000689244,0.127280864,-0.001333436,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.216704607,-2.482279577,-0.001887086,9.515255558,-0.013019320,0.028654365,-0.009152558,-0.015556852,-0.002443548,-0.028376248,-0.063723311,0.047125710,-0.118503664,0.991859108,-0.000748460,0.127330916,-0.001337033,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.222509146,-2.472655969,-0.009104793,9.527285069,-0.004497204,0.028654365,-0.010217823,-0.015926576,-0.002169766,-0.029063461,-0.063668242,0.047208099,-0.118280968,0.991850720,-0.000803743,0.127395850,-0.001341697,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.226707697,-2.479873675,-0.050005130,9.572997210,0.005090177,0.027589099,-0.011283085,-0.016193725,-0.001971643,-0.029559488,-0.063589308,0.047168658,-0.118003692,0.991844804,-0.000825163,0.127441682,-0.001349709,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.232481003,-2.511150403,-0.071658249,9.587432623,0.014677558,0.030784894,-0.010217823,-0.016560695,-0.001699999,-0.030239091,-0.063537227,0.046934826,-0.117425988,0.991836296,-0.000827163,0.127507716,-0.001364255,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.236752272,-2.568892055,-0.076470054,9.577809014,0.026395466,0.033980686,-0.010217823,-0.016832375,-0.001500020,-0.030739612,-0.063675429,0.046704229,-0.116940439,0.991829147,-0.000805924,0.127563308,-0.001376796,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.242482185,-2.592951077,-0.071658249,9.560967699,0.034917582,0.036111213,-0.002760969,-0.017198439,-0.001233312,-0.031407845,-0.064097360,0.046389020,-0.116303091,0.991818615,-0.000747302,0.127645421,-0.001386729,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.246965408,-2.566486153,-0.042787423,9.493602439,0.041309170,0.037176482,0.000434823,-0.017486623,-0.001025736,-0.031928553,-0.064463834,0.046212026,-0.115988497,0.991809938,-0.000683327,0.127713205,-0.001384795,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.252481937,-2.559268447,-0.054816934,9.474355221,0.045570225,0.039307009,0.004695881,-0.017843376,-0.000771309,-0.032568041,-0.064875727,0.046029850,-0.115856078,0.991798708,-0.000588717,0.127800969,-0.001374095,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
1776086967.257032156,-2.530397621,-0.062034641,9.450296199,0.050896548,0.040372275,0.014283262,-0.018139208,-0.000562324,-0.033095227,-0.065154311,0.045827165,-0.115862904,0.991788995,-0.000497844,0.127876957,-0.001351042,0.009962176,0.006119106,-0.005678825,-0.000003554,-0.000007224,-0.000001752
